Sport,Endurance,Power,Agility,Flexibility,Pain tolerance,Hand-Eye Coordination,Teamwork,Budget,Aggressiveness,Communication,Height
Boxing,8.63,8.63,6.25,4.38,8.88,7.0,1,2,10.0,0,5
Ice Hockey,7.25,7.88,7.63,4.88,6.0,7.5,10,6,10.0,8,5
Football,5.38,8.13,6.38,4.38,7.25,5.5,10,4,7.0,7,6
Basketball,7.38,6.5,8.13,5.63,4.13,7.5,10,1,7.0,8,9
Wrestling,6.63,7.13,6.38,7.5,5.0,4.25,1,1,9.5,0,6
Martial Arts,5.0,7.75,6.0,7.0,6.63,6.0,1,1,8.0,5,7
Tennis,7.25,7.13,7.75,5.63,3.0,8.38,7,7,3.0,3,4
Gymnastics,5.38,6.63,6.38,10.0,7.5,4.5,1,1,2.0,3,5
Baseball/Softball,4.63,7.63,6.75,4.75,5.13,9.25,10,4,4.0,7,6
Soccer,7.75,5.13,8.25,4.75,3.63,6.5,10,1,7.0,8,4
Water Polo,7.88,6.88,6.38,5.0,4.25,6.25,10,4,8.0,8,5
Rugby,6.75,6.38,6.0,4.13,6.5,4.38,10,4,9.0,10,6
Lacrosse,6.63,5.75,6.63,4.75,4.38,7.13,10,5,9.0,10,7
Field Hockey,6.75,5.38,5.75,4.63,3.75,6.63,10,5,8.0,10,5
Speed Skating,7.63,7.38,4.0,4.25,4.5,2.88,5,4,3.0,1,4
Figure Skating,6.38,6.63,6.88,8.25,4.88,3.13,5,5,1.0,5,3
Cycling,9.63,6.25,3.75,2.63,5.88,3.0,4,4,4.0,1,2
Volleyball,5.13,6.63,7.0,5.13,2.88,7.25,10,1,7.0,9,7
Racquetball/Squash,6.13,5.0,7.25,5.88,2.38,8.38,5,4,6.0,4,4
Surfing,4.63,4.13,6.63,5.5,8.25,4.38,1,7,2.0,1,5
Fencing,4.63,4.25,6.13,5.63,4.88,7.25,1,9,6.0,1,4
Team Handball,4.88,5.38,6.0,4.5,3.0,7.88,10,1,7.0,8,6
Badminton,5.25,4.0,7.38,5.25,1.25,7.25,5,1,4.0,4,4
Diving,2.88,4.63,3.5,8.5,8.38,3.0,4,6,1.0,4,3
Swimming,9.25,4.63,3.63,5.5,2.63,2.88,5,2,1.0,3,3
Skateboarding,4.13,3.75,6.13,5.13,6.5,4.88,4,3,2.0,2,2
Rowing& paddles,8.13,7.13,2.5,4.0,1.75,2.88,7,4,2.0,4,1
Table Tennis,3.5,4.63,5.88,4.25,1.38,8.88,7,1,3.0,5,4
Canoe/Kayak,6.75,5.63,2.75,3.88,3.63,3.13,7,3,3.0,4,2
Horse Racing,4.0,2.88,2.88,3.75,8.0,3.88,1,10,2.0,3,3
Golf,3.25,6.13,1.75,4.0,2.5,6.0,5,10,0.0,4,2
Roller Skating,4.75,4.0,4.0,3.5,2.63,2.88,5,2,6.0,4,2
Archery,2.88,3.13,1.63,2.63,2.75,6.63,4,4,4.0,3,2
Curling,2.25,2.5,2.25,2.63,1.75,4.88,10,5,3.0,3,3
Bowling,2.25,3.38,1.88,2.38,1.63,4.75,7,2,1.0,4,1
Shooting,2.25,1.38,1.13,1.75,2.38,6.75,1,4,2.0,4,1
Billiards,1.0,1.75,1.0,2.63,1.63,5.25,1,2,1.0,2,4
Fishing,1.38,1.25,1.5,1.13,0.88,2.38,5,5,1.0,6,1
Hiking,7.0,3.5,2.5,2.5,2.5,4.5,5,2,0.0,6,2
Yoga,8.0,1.5,1.5,6.5,2.0,2.0,5,1,0.0,3,5
Dancing,6.0,2.5,4.5,5.5,1.5,3.0,5,1,1.0,5,4
